DateTime,Max/Min,State,Fuel Type,Supply
07/04/2019 12:00,Max,NEM,Distributed PV,4262.765
07/04/2019 12:00,Max,NEM,Gas,637.917
07/04/2019 12:00,Max,NEM,Hydro,571.026
07/04/2019 12:00,Max,NEM,Liquid Fuel,0.019
07/04/2019 12:00,Max,NEM,Utility-scale Solar,1453.122
07/04/2019 12:00,Max,NEM,Wind,3216.347
24/04/2019 04:30,Min,NEM,Battery,2.4
24/04/2019 04:30,Min,NEM,Biomass,0
24/04/2019 04:30,Min,NEM,Black coal,10681.637
24/04/2019 04:30,Min,NEM,Brown coal,4196.363
24/04/2019 04:30,Min,NEM,Distributed PV,0
24/04/2019 04:30,Min,NEM,Gas,1313.874
24/04/2019 04:30,Min,NEM,Hydro,545.58
24/04/2019 04:30,Min,NEM,Liquid Fuel,0.019
24/04/2019 04:30,Min,NEM,Utility-scale Solar,2.176
24/04/2019 04:30,Min,NEM,Wind,805.358
06/05/2019 05:30,Min,NEM,Battery,0.002
06/05/2019 05:30,Min,NEM,Biomass,0
06/05/2019 05:30,Min,NEM,Black coal,11328.463
06/05/2019 05:30,Min,NEM,Brown coal,3228.76
06/05/2019 05:30,Min,NEM,Distributed PV,0
06/05/2019 05:30,Min,NEM,Gas,1960.796
06/05/2019 05:30,Min,NEM,Hydro,1094.628
06/05/2019 05:30,Min,NEM,Liquid Fuel,0.038
06/05/2019 05:30,Min,NEM,Utility-scale Solar,1.798
06/05/2019 05:30,Min,NEM,Wind,563.207
26/05/2019 12:00,Max,NEM,Battery,1.257
26/05/2019 12:00,Max,NEM,Biomass,0
26/05/2019 12:00,Max,NEM,Black coal,9412.614
26/05/2019 12:00,Max,NEM,Brown coal,3404.138
26/05/2019 12:00,Max,NEM,Distributed PV,3258.115
26/05/2019 12:00,Max,NEM,Gas,663.419
26/05/2019 12:00,Max,NEM,Hydro,944.47
26/05/2019 12:00,Max,NEM,Liquid Fuel,0.019
26/05/2019 12:00,Max,NEM,Utility-scale Solar,1392.682
26/05/2019 12:00,Max,NEM,Wind,3628.588
17/06/2019 03:00,Min,NEM,Battery,7.783
17/06/2019 03:00,Min,NEM,Biomass,32.766
17/06/2019 03:00,Min,NEM,Black coal,11570.209
17/06/2019 03:00,Min,NEM,Brown coal,3854.134
17/06/2019 03:00,Min,NEM,Distributed PV,0
17/06/2019 03:00,Min,NEM,Gas,1602.071
17/06/2019 03:00,Min,NEM,Hydro,1277.681
17/06/2019 03:00,Min,NEM,Liquid Fuel,0.563
17/06/2019 03:00,Min,NEM,Utility-scale Solar,1.644
17/06/2019 03:00,Min,NEM,Wind,565.749
30/06/2019 12:30,Max,NEM,Battery,13.45
30/06/2019 12:30,Max,NEM,Biomass,60.983
30/06/2019 12:30,Max,NEM,Black coal,9458.405
30/06/2019 12:30,Max,NEM,Brown coal,4057.823
30/06/2019 12:30,Max,NEM,Distributed PV,3136.496
30/06/2019 12:30,Max,NEM,Gas,550.478
30/06/2019 12:30,Max,NEM,Hydro,926.565
30/06/2019 12:30,Max,NEM,Liquid Fuel,5.39
30/06/2019 12:30,Max,NEM,Utility-scale Solar,1670.687
30/06/2019 12:30,Max,NEM,Wind,3361.931
20/07/2019 13:00,Max,NEM,Battery,1.439
20/07/2019 13:00,Max,NEM,Biomass,32.216
20/07/2019 13:00,Max,NEM,Black coal,9458.81
20/07/2019 13:00,Max,NEM,Brown coal,3098.981
20/07/2019 13:00,Max,NEM,Distributed PV,4204.135
20/07/2019 13:00,Max,NEM,Gas,686.856
20/07/2019 13:00,Max,NEM,Hydro,1187.909
20/07/2019 13:00,Max,NEM,Liquid Fuel,0.091
20/07/2019 13:00,Max,NEM,Utility-scale Solar,1791.455
20/07/2019 13:00,Max,NEM,Wind,3017.985
27/07/2019 03:00,Min,NEM,Battery,0.25
27/07/2019 03:00,Min,NEM,Biomass,51.116
27/07/2019 03:00,Min,NEM,Black coal,12107.706
27/07/2019 03:00,Min,NEM,Brown coal,3867.965
27/07/2019 03:00,Min,NEM,Distributed PV,0
27/07/2019 03:00,Min,NEM,Gas,1551.495
27/07/2019 03:00,Min,NEM,Hydro,1531.037
27/07/2019 03:00,Min,NEM,Liquid Fuel,0.088
27/07/2019 03:00,Min,NEM,Utility-scale Solar,0.327
27/07/2019 03:00,Min,NEM,Wind,240.673
24/08/2019 12:30,Max,NEM,Battery,13.885
24/08/2019 12:30,Max,NEM,Biomass,49.366
24/08/2019 12:30,Max,NEM,Black coal,8942.001
24/08/2019 12:30,Max,NEM,Brown coal,2700.675
24/08/2019 12:30,Max,NEM,Distributed PV,4417.127
24/08/2019 12:30,Max,NEM,Gas,633.266
24/08/2019 12:30,Max,NEM,Hydro,1055.425
24/08/2019 12:30,Max,NEM,Liquid Fuel,0.083
24/08/2019 12:30,Max,NEM,Utility-scale Solar,1663.758
24/08/2019 12:30,Max,NEM,Wind,3549.486
26/08/2019 03:00,Min,NEM,Battery,0
26/08/2019 03:00,Min,NEM,Biomass,70.333
26/08/2019 03:00,Min,NEM,Black coal,10829.295
26/08/2019 03:00,Min,NEM,Brown coal,3836.403
